Feature,Gini
Intercept,-0.00697022
HAB_qual,0.0522314
ddea_quant_cm_10,0.0846308
HAB_nb_pieces,0.0922738
HAB_qual_inhab,0.0937326
ddem_quant_cm_20,0.0941032
POL_distrib,0.0952799
annee,0.0976598
CLI_cspf,0.098906
CLI_tr_age,0.0993375
CLI_tr_age_X_CSPf,0.0988167
HAB_inhab,0.0985993
REG_zoneAxa_a,0.0991591
POL_tr_capass,0.0996913
AUTV_prix_sra_supo,0.100848
HAB_cdresid,0.100746
POL_mtcapass,0.100319
POL_mtobv,0.100257
POL_distrib_code,0.100391
HAB_habit_nbpieces,0.100297
HAB_habit_X_qual_X_inhab,0.0998157
HAB_anclg,0.095286
AUTV_segment_b,0.095286
zone_vol_cm_insee,0.095286
AUTV_segment_min,0.095286
EXT_dens_pop,0.095286
CLI_banque,0.095286
AUTV_prix_sra_max,0.095286
AUTV_prix_sra_jl,0.095286
AUTV_prix_sra_ef,0.095286
fire_quant_freq_20,0.095286
Zone_inc_freq_iris,0.095286
CLI_tr_ancli,0.095286
vol_quant_cm_20,0.095286
CLI_indice,0.095286
CLI_sit_fam2,0.095286
AUTV_nb_vol,0.095286
AUTV_prix_sra_gi,0.095286
EXT_part_surf_plus100,0.095286
ddem_quant_freq_20,0.095286
AUTV_prix_sra_min,0.095286
EXT_part_respr_1p,0.095286
AUTA_tot4a,0.095286
POL_cdregion,0.095286
AUTA_tot3a,0.095286
CLI_sex,0.095286
EXT_part_surf_inf40,0.095286
EXT_part_rev_15K29k,0.095286
AUTV_energie_go,0.095286
AUTV_segment_a,0.095286
EXT_superficie_m2_num,0.095286
AUTV_energie_es,0.095286
AUTV_segment_max,0.095286
Zone_inc_cm_iris,0.095286
AUTV_nb_vol_cd,0.095286
AUTA_tot2a,0.095286
EXT_part_repsr_sdb2,0.095286
EXT_part_repsr_sdb1,0.095286
EXT_part_respr_5p,0.095286
CLI_top_aup,0.095286
CLI_age,0.095286
bdg_quant_cm_20,0.095286
EXT_part_respr_chauf_col,0.095286
EXT_part_respr_chauf_ind,0.095286
AUTA_tot1a,0.095286
EXT_part_lgt_vac,0.095286
EXT_part_lgt_co,0.095286
EXT_part_respr_chauf_indelec,0.095286
ddea_quant_freq_20,0.095286
AUTA_b50_n,0.095286
EXT_part_pop_15dipsup,0.095286
zone_vol_freq_insee,0.095286
EXT_part_pop_15ssdip,0.095286
CLI_nb_contrat,0.095286
Random,0.095286
vol_quant_freq_20,0.095286
CLI_nb_contrat_mot,0.095286
EXT_part_men_lochlm,0.095286
AUTA_rm_5060,0.095286
AUTV_prix_sra_mn,0.095286
AUTV_nb_vol_ef,0.095286
CLI_nb_contrat_aup,0.095286
bdg_quant_freq_20,0.095286
HAB_habit,0.095286
EXT_part_men_pror,0.095286
CLI_tr_mtvi,0.095286
EXT_part_pop_65a79a,0.095286
POL_ran,0.095286
CLI_tr_pm,0.095286
AUTA_rm_7090,0.095286
POL_pac,0.095286
POL_vol,0.095286
EXT_gdeville,0.095286
POL_cdopmrh,0.095286
catnat_quant_pp_10,0.095286
AUTV_nb_rc_12,0.095286
AUTA_rm,0.095286
clim_quant_pp_20,0.095286
CLI_nb_contrat_mrp,0.095286
CLI_top_prv,0.095286
EXT_part_secocc,0.095286
REG_zoneAxa_m,0.095286
HAB_surf_dep,0.095286
CLI_nb_contrat_bqe,0.095286
CLI_nb_contrat_hab,0.095286
CLI_prod_entree,0.095286
EXT_part_respr_chauf_aut,0.095286
AUTV_nb_vol_ab,0.095286
EXT_part_pop_18a24a,0.095286
CLI_top_hab,0.095286
AUTV_segment_m2,0.095286
HAB_top_jardin,0.095286
AUTV_nb_rc_78,0.095286
CLI_top_pju,0.095286
POL_paj,0.095286
CLI_nb_contrat_atr,0.095286
AUTV_nb_vol_gh,0.095286
CLI_top_mrp,0.095286
CLI_nb_contrat_prv,0.095286
AUTV_prix_sra_ad,0.095286
POL_tr_tx_objv,0.095286
POL_tx_objv,0.095286
POL_fract,0.095286
AUTA_rm_inf50,0.095286
CLI_top_bqe,0.095286
CLI_nb_contrat_san,0.095286
POL_pap,0.095286
AUTV_segment_m1,0.095286
AUTV_nb_rc_56,0.095286
CLI_nb_contrat_epa,0.095286
CLI_nb_contrat_pju,0.095286
AUTV_nb_rc,0.095286
AUTV_nb_rc_34,0.095286
CLI_top_mot,0.095286
POL_delec,0.095286
POL_pan,0.095286
AUTV_k8000_n,0.095286
POL_par,0.095286
POL_fr,0.095286
CLI_top_san,0.095286
CLI_top_epa,0.095286
AUTA_rm_sup90,0.095286
AUTV_rm,0.095286
AUTV_nb_vol_ij,0.095286
HAB_inser,0.095286
CLI_nb_contrat_pf,0.095286
AUTV_nb_vol_supk,0.095286
AUTA_rm_6070,0.095286
AUTV_k8000_o,0.095286
AUTV_nb_rc_sup9,0.095286
AUTV_segment_h,0.095286
AUTA_rm_50,0.095286
CLI_nb_enfant,0.095286
AUTA_b50_o,0.095286
CLI_top_pf,0.095286
AUTV_segment_0,0.095286
CLI_top_atr,0.095286
