row,exposure,target,prediction
20,1,2254.3,1235.48
660,1,1319.71,1108.59
689,1,329.155,1213.77
1017,1,1666.35,1366.1
1055,1,1093.41,1180.26
1121,1,1164.39,1123.69
1255,1,1825.66,891.83
1361,1,1078.42,1254.4
1404,1,424.816,1002.98
1418,1,1078.42,1046.14
1510,1,1546.24,1005.59
1522,1,4034.24,1190.24
1661,1,1248.96,1190.99
1709,1,501.952,897.001
1780,1,515.044,1080.15
1931,1,211.13,1162.19
2201,1,1858.34,1340.18
2273,1,403.983,844.914
2285,2,913.473,2540.72
2380,1,2255.65,1104.06
2432,1,342.159,1184.99
2615,1,220.123,961.739
2891,1,1078.42,1336.53
3069,1,565.412,1000.52
3072,1,231.881,1062.46
3163,1,1096.9,1064.51
3351,1,1093.41,1245.88
3424,1,988.543,1010.77
3621,1,211.13,882.268
3757,1,247.422,1075.53
3792,1,523.731,1161.37
3830,1,539.985,1156.15
3922,1,127.679,917.934
4028,1,1093.41,846.245
4104,1,380.966,927.726
4151,1,1980.46,1163.9
4401,1,3311.93,1416.2
4682,1,1201.81,1181.06
5090,1,1035.03,1171.49
5240,1,458.554,1123.69
5286,2,1093.51,1978.21
5290,1,1018.32,834.251
5311,1,2024.59,1254.47
5380,1,1165.58,1443.25
5550,1,1165.58,1289.5
5588,1,1353.67,860.238
5638,1,923.819,1065.13
5664,1,1214.4,956.678
5678,1,1890.4,973.554
5715,1,1093.41,1243.06
5820,1,1133.72,1211.92
5838,2,2855.6,3478.57
5901,1,1165.58,1258.68
5939,1,210.569,1150.5
6139,2,1136.08,2338.64
6312,1,315.66,1229.28
6383,1,1106.5,1146.14
6463,1,1021.98,1053.27
6488,1,2366.07,974.103
6751,1,1192.19,1318.94
6875,1,861.773,955.419
7069,1,1497.14,1222
7773,1,614.121,1056.77
7774,1,123.148,1095.52
7775,1,1281.52,1118.74
7924,1,559.748,939.423
8075,1,782.088,1169.86
8120,1,1242.04,1026.1
8275,1,580.081,823.179
8433,1,514.834,1117.28
8542,1,1192.19,1297.97
8615,1,1392.11,967.41
8901,1,2778.94,1254.4
8917,1,262.05,959.357
8983,1,1034.24,1060.18
9057,1,1660.97,1230.92
9255,1,323.079,1237.89
9321,2,2331.17,2195.86
9333,1,1034.24,995.144
9566,1,1606.1,1050.31
9716,1,2046.36,1273.26
9900,1,610.787,1490.98
10033,1,353.85,1062.39
10112,1,1165.58,1344.54
10151,1,211.601,1189.59
10382,1,1093.41,1265.93
